sample,alignment rate,concordantly 1 time,concordantly >1 time
1884,90.76%,81.62%,4.73%
2135,92.46%,84.08%,4.21%
2029,92.68%,84.50%,4.38%
1282,88.85%,79.76%,4.76%
1237,91.00%,82.88%,4.66%
1580,93.96%,83.95%,5.96%
1237,91.04%,82.96%,4.66%
1685,83.17%,73.13%,4.07%
1036,80.97%,73.00%,4.01%
1833,89.96%,49.35%,33.23%
1205,89.87%,80.55%,4.65%
2024,89.84%,81.60%,4.26%
1096,95.09%,85.30%,5.76%
1295,92.51%,84.23%,4.94%
2003,91.60%,82.94%,4.22%
2118,94.27%,85.93%,5.12%
2026,93.44%,85.05%,4.67%
1844,91.31%,82.12%,4.68%
1060,90.28%,81.12%,5.53%
1833,90.00%,49.64%,32.91%
1123,85.26%,77.80%,4.10%
1910,94.33%,85.47%,5.07%
1116,94.45%,84.53%,5.51%
1136,88.93%,81.51%,4.10%
2195,95.53%,87.47%,4.61%
1060,90.42%,81.23%,5.60%
1197,91.20%,83.27%,4.15%
1304,93.62%,85.68%,4.37%
2261,87.96%,77.63%,5.12%
1916,94.65%,86.09%,4.61%
2197,93.99%,86.12%,3.85%
1881,93.66%,85.16%,4.51%
1891,94.06%,85.50%,4.67%
1818,92.79%,83.37%,5.07%
2135,92.49%,84.20%,4.14%
1100,85.87%,77.87%,4.35%
1282,88.81%,79.86%,4.64%
1685,83.25%,73.17%,4.10%
2027,93.15%,84.89%,4.57%
1267,86.32%,76.36%,3.66%
1971,92.73%,83.98%,4.68%
1916,94.63%,86.04%,4.64%
1644,94.33%,85.34%,4.78%
2029,92.47%,84.26%,4.37%
2020,92.54%,83.54%,4.95%
1999,90.98%,81.72%,4.63%
1504,76.01%,67.58%,3.16%
1199,85.89%,79.17%,3.56%
1431,91.18%,82.18%,4.30%
2311,93.03%,85.52%,3.76%
1111,81.80%,72.34%,5.35%
1034,95.40%,85.79%,5.33%
1789,92.67%,83.61%,4.68%
1839,88.18%,79.52%,4.35%
1458,94.00%,85.16%,4.30%
1818,92.73%,83.29%,5.07%
1999,90.82%,81.49%,4.66%
1976,92.65%,83.86%,4.99%
1523,93.31%,84.48%,4.31%
1930,92.10%,82.34%,5.06%
1889,93.35%,83.31%,5.54%
1580,93.96%,84.21%,5.65%
