sample,total reads,paired unique mapped reads,alignment rate,concordantly 1 time,concordantly >1 time
1207,7779022,6663189,94.17%,85.66%,5.04%
1036,4690337,3463728,81.81%,73.85%,4.06%
1844,4864221,4000866,91.43%,82.25%,4.64%
1323,6051874,4662733,85.78%,77.05%,4.76%
1205,5474209,4448621,90.48%,81.27%,4.66%
1096,15541376,13242417,94.93%,85.21%,5.62%
2018,5038392,4269195,93.17%,84.73%,4.45%
1904,4046143,3308179,89.56%,81.76%,4.22%
2263,5799052,4788511,91.54%,82.57%,4.66%
1903,5789022,4932900,93.88%,85.21%,4.71%
2020,5410639,4521131,92.51%,83.56%,4.88%
1036,4539411,3363637,82.04%,74.10%,4.05%
1179,2718745,2226062,90.16%,81.88%,3.68%
1789,4627261,3872656,92.69%,83.69%,4.64%
1425,1996913,1639133,89.27%,82.08%,2.74%
2022,4810887,3960166,91.14%,82.32%,4.77%
2120,5325357,4554493,93.59%,85.52%,4.51%
1304,7339777,6329362,94.01%,86.23%,4.31%
1491,5920351,5036494,93.89%,85.07%,4.86%
1502,14775777,12657241,94.57%,85.66%,4.96%
1110,2581137,2104673,91.28%,81.54%,4.17%
2164,6393905,5619971,95.34%,87.90%,4.35%
1242,6024589,5207523,94.84%,86.44%,5.19%
2197,5866591,5047401,93.96%,86.04%,3.88%
1886,4594677,3896514,93.48%,84.80%,4.88%
1818,12390373,10324868,92.77%,83.33%,5.05%
1484,14082398,12250174,95.81%,86.99%,4.71%
1080,24757602,20573616,93.95%,83.10%,6.47%
1589,4049250,3177865,88.77%,78.48%,4.77%
2119,6018003,5128803,93.40%,85.22%,4.60%
1914,6071935,5116553,93.27%,84.27%,5.20%
1989,6833248,5842172,94.01%,85.50%,4.81%
2168,8520583,7454983,95.39%,87.49%,4.72%
1640,16430989,14095470,95.10%,85.79%,4.97%
1034,15635660,13361726,95.18%,85.46%,5.28%
1431,15204119,12477819,91.09%,82.07%,4.34%
1199,4552613,3627655,86.34%,79.68%,3.59%
1652,9040278,7665534,93.60%,84.79%,4.20%
2311,5124430,4383555,92.97%,85.54%,3.67%
1965,7266598,6197675,93.98%,85.29%,4.63%
1192,6171172,4758838,86.87%,77.11%,5.23%
2164,6399690,5623382,95.30%,87.87%,4.31%
2018,5043306,4277570,93.20%,84.82%,4.42%
2311,5095148,4368163,93.16%,85.73%,3.71%
1111,3927733,2819594,81.07%,71.79%,5.23%
2303,6069330,5087896,92.18%,83.83%,4.31%
1776,1759678,1413356,89.17%,80.32%,3.82%
1782,4560988,3643612,89.38%,79.89%,4.80%
1907,6841935,5863016,94.76%,85.69%,5.58%
1445,5175670,4353778,93.21%,84.12%,4.58%
1652,8876672,7431839,92.86%,83.72%,4.12%
1510,7951045,6308536,86.93%,79.34%,3.30%
1179,2742740,2243171,90.13%,81.79%,3.60%
2118,5951793,5121883,94.42%,86.06%,5.16%
1980,5124107,4195088,90.45%,81.87%,4.35%
1434,15167901,12815812,93.65%,84.49%,4.62%
2229,8367965,6370483,85.41%,76.13%,4.24%
2118,5954817,5113722,94.23%,85.88%,5.10%
2231,5486085,4232057,86.12%,77.14%,3.98%
1594,13006919,11178394,94.66%,85.94%,4.45%
1685,4888197,3581043,83.23%,73.26%,4.08%
1785,5075723,4055522,89.77%,79.90%,4.89%
1843,5162058,4334534,92.64%,83.97%,4.56%
1041,4357782,3184600,80.81%,73.08%,3.84%
1434,15167642,12861401,93.90%,84.79%,4.70%
1818,12182569,10152905,92.75%,83.34%,5.05%
1199,4602229,3666016,86.26%,79.66%,3.50%
1784,4943783,3906970,88.81%,79.03%,4.60%
2152,5542909,4584601,91.68%,82.71%,4.88%
1058,15424170,13221068,94.80%,85.72%,4.91%
1154,15870250,13695120,95.80%,86.29%,5.54%
1640,16150068,13919742,95.31%,86.19%,4.91%
1886,4522996,3847221,93.45%,85.06%,4.65%
1113,4084026,3119918,84.36%,76.39%,4.72%
1154,16053410,13900043,95.92%,86.59%,5.49%
2152,5524761,4572901,91.78%,82.77%,4.95%
1697,3856057,3083372,90.52%,79.96%,5.03%
2195,6006314,5240752,95.41%,87.25%,4.63%
1593,4345856,3400166,86.67%,78.24%,3.74%
1080,25162326,20966696,94.11%,83.33%,6.45%
2261,8130131,6294733,87.58%,77.42%,4.90%
1886,4562380,3875712,93.44%,84.95%,4.74%
1789,4645296,3888935,92.70%,83.72%,4.60%
2076,5116758,4319858,93.62%,84.43%,5.21%
1758,3632909,2881519,88.63%,79.32%,4.12%
1916,7145328,6147225,94.63%,86.03%,4.62%
1965,7348437,6271816,93.99%,85.35%,4.56%
1194,18662228,16242748,96.14%,87.04%,5.69%
2026,4760058,4059041,93.59%,85.27%,4.65%
1534,17758059,15040732,94.34%,84.70%,5.57%
1811,13804008,11129829,90.27%,80.63%,4.89%
1158,2913046,2327119,86.86%,79.89%,3.75%
1082,5523434,4436970,89.42%,80.33%,5.15%
1836,4502449,3793670,92.56%,84.26%,4.18%
2303,6097968,5105673,91.99%,83.73%,4.20%
1517,11968510,10089669,93.52%,84.30%,4.97%
1625,9328137,7642042,93.32%,81.92%,6.69%
1910,6893548,5895257,94.36%,85.52%,5.09%
1881,7694763,6571053,93.68%,85.40%,4.34%
1811,13850978,11173233,90.36%,80.67%,4.93%
1820,4915311,4033225,91.23%,82.05%,4.56%
2094,5579462,4869811,94.87%,87.28%,4.23%
